
Host: gr067.hpc.nyu.edu

Timers On : Fri Dec  1 13:31:45 2023
Timers Off: Fri Dec  1 13:31:45 2023

Wall Time:        0.35 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: gr067.hpc.nyu.edu

Timers On : Fri Dec  1 13:24:41 2023
Timers Off: Fri Dec  1 13:37:07 2023

Wall Time:      746.13 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.067u      0.050s      0.081w     11 calls
Libint2ERI::Libint2ERI              :      0.817u      0.100s      0.517w    116 calls
DFH: initialize()                   :      0.250u      0.050s      0.166w     11 calls
DFH: AO Construction                :      0.067u      0.000s      0.035w     11 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.004w     11 calls
HF: Form core H                     :      0.083u      0.033s      0.047w     21 calls
HF: Form S/X                        :      0.000u      0.000s      0.009w     21 calls
HF: Guess                           :      1.050u      0.050s      0.676w     21 calls
SAD Guess                           :      1.017u      0.050s      0.637w     19 calls
HF: Form G                          :      1.500u      0.000s      0.927w    184 calls
JK: D                               :      0.017u      0.000s      0.002w    210 calls
JK: USO2AO                          :      0.017u      0.000s      0.010w    210 calls
JK: JK                              :      1.483u      0.000s      0.946w    210 calls
DFH: compute_JK()                   :      0.100u      0.000s      0.053w    118 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    118 calls
DFH: compute_J                      :      0.000u      0.000s      0.013w    118 calls
DFH: compute_K                      :      0.083u      0.000s      0.039w    118 calls
JK: J                               :      0.133u      0.000s      0.072w     92 calls
JK: J1                              :      0.067u      0.000s      0.036w     92 calls
JK: J2                              :      0.067u      0.000s      0.034w     92 calls
JK: K                               :      1.233u      0.000s      0.805w     92 calls
JK: K1                              :      1.200u      0.000s      0.726w     92 calls
JK: K2                              :      0.033u      0.000s      0.078w     92 calls
JK: AO2USO                          :      0.000u      0.000s      0.003w    210 calls
HF: Form F                          :      0.000u      0.000s      0.003w    184 calls
HF: Form D                          :      0.000u      0.000s      0.002w    184 calls
HF: DIIS                            :      0.950u      0.100s      1.155w    165 calls
