smiles,logSolubility,ROMol,n_Atoms
N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,-0.77,<rdkit.Chem.rdchem.Mol object at 0x15206cced510>,32
Cc1occc1C(=O)Nc1ccccc1,-3.3,<rdkit.Chem.rdchem.Mol object at 0x15206cced580>,15
CC(C)=CCCC(C)=CC=O,-2.06,<rdkit.Chem.rdchem.Mol object at 0x15206cced5f0>,11
c1ccc2c(c1)ccc1c2ccc2c3ccccc3ccc21,-7.87,<rdkit.Chem.rdchem.Mol object at 0x15206cced660>,22
c1ccsc1,-1.33,<rdkit.Chem.rdchem.Mol object at 0x15206cced6d0>,5
c1ccc2scnc2c1,-1.5,<rdkit.Chem.rdchem.Mol object at 0x15206cced740>,9
Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1,-7.32,<rdkit.Chem.rdchem.Mol object at 0x15206cced7b0>,17
CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,-5.03,<rdkit.Chem.rdchem.Mol object at 0x15206cced820>,20
ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,-6.29,<rdkit.Chem.rdchem.Mol object at 0x15206cced890>,19
C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,-4.42,<rdkit.Chem.rdchem.Mol object at 0x15206cced900>,29
O=C1CCCN1,1.07,<rdkit.Chem.rdchem.Mol object at 0x15206cced970>,6
Clc1ccc2ccccc2c1,-4.14,<rdkit.Chem.rdchem.Mol object at 0x15206cced9e0>,11
C=CCCC,-2.68,<rdkit.Chem.rdchem.Mol object at 0x15206cceda50>,5
CCC1(c2ccccc2)C(=O)NCNC1=O,-2.64,<rdkit.Chem.rdchem.Mol object at 0x15206ccedac0>,16
CCCCCCCCCCCCCC,-7.96,<rdkit.Chem.rdchem.Mol object at 0x15206ccedb30>,14
CC(C)Cl,-1.41,<rdkit.Chem.rdchem.Mol object at 0x15206ccedba0>,4
CCC(C)CO,-0.47,<rdkit.Chem.rdchem.Mol object at 0x15206ccedc10>,6
N#Cc1ccccc1,-1.0,<rdkit.Chem.rdchem.Mol object at 0x15206ccedc80>,8
CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,-3.64,<rdkit.Chem.rdchem.Mol object at 0x15206ccedcf0>,19
CCCCCCCCCC(C)O,-2.94,<rdkit.Chem.rdchem.Mol object at 0x15206ccedd60>,12
Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c1,-7.43,<rdkit.Chem.rdchem.Mol object at 0x15206cceddd0>,17
O=c1[nH]c2c(c(=O)n1C1CCCCC1)CCC2,-4.593999999999999,<rdkit.Chem.rdchem.Mol object at 0x15206ccede40>,17
CCOP(=S)(OCC)SCSCC,-4.11,<rdkit.Chem.rdchem.Mol object at 0x15206ccedeb0>,13
CCOc1ccc(NC(C)=O)cc1,-2.35,<rdkit.Chem.rdchem.Mol object at 0x15206ccedf20>,13
CCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-],-5.47,<rdkit.Chem.rdchem.Mol object at 0x15206ccedf90>,22
CCCCCCCO,-1.81,<rdkit.Chem.rdchem.Mol object at 0x15206cc98040>,8
Cn1c(=O)c2[nH]cnc2n(C)c1=O,-1.39,<rdkit.Chem.rdchem.Mol object at 0x15206cc980b0>,13
CCCCC1(CC)C(=O)NC(=O)NC1=O,-1.661,<rdkit.Chem.rdchem.Mol object at 0x15206cc98120>,15
ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,-6.9,<rdkit.Chem.rdchem.Mol object at 0x15206cc98190>,18
CCCCCCCC(=O)OC,-3.17,<rdkit.Chem.rdchem.Mol object at 0x15206cc98200>,11
CCc1ccc(CC)cc1,-3.75,<rdkit.Chem.rdchem.Mol object at 0x15206cc98270>,10
CCOP(=S)(OCC)SCSC(C)(C)C,-4.755,<rdkit.Chem.rdchem.Mol object at 0x15206cc982e0>,15
COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,-4.805,<rdkit.Chem.rdchem.Mol object at 0x15206cc98350>,22
C=C(Cl)Cl,-1.64,<rdkit.Chem.rdchem.Mol object at 0x15206cc983c0>,4
Cc1cccc2c1Cc1ccccc1-2,-5.22,<rdkit.Chem.rdchem.Mol object at 0x15206cc98430>,14
CCCCC=O,-0.85,<rdkit.Chem.rdchem.Mol object at 0x15206cc984a0>,6
c1ccc(Nc2ccccc2)cc1,-3.504,<rdkit.Chem.rdchem.Mol object at 0x15206cc98510>,13
CN(C)C(=O)SCCCCOc1ccccc1,-3.927,<rdkit.Chem.rdchem.Mol object at 0x15206cc98580>,17
CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C,-4.15,<rdkit.Chem.rdchem.Mol object at 0x15206cc985f0>,21
CCCCCCCI,-4.81,<rdkit.Chem.rdchem.Mol object at 0x15206cc98660>,8
Clc1cccc(-c2ccccc2)c1,-4.88,<rdkit.Chem.rdchem.Mol object at 0x15206cc986d0>,13
C=CCCCO,-0.15,<rdkit.Chem.rdchem.Mol object at 0x15206cc98740>,6
O=C1NC(=O)C2(CCC2)C(=O)N1,-1.655,<rdkit.Chem.rdchem.Mol object at 0x15206cc987b0>,12
CC1CCC(C(C)C)C(O)C1,-2.53,<rdkit.Chem.rdchem.Mol object at 0x15206cc98820>,11
CC(C)OC=O,-0.63,<rdkit.Chem.rdchem.Mol object at 0x15206cc98890>,6
CCCCCC(C)O,-1.55,<rdkit.Chem.rdchem.Mol object at 0x15206cc98900>,8
CC(=O)Nc1ccc(Br)cc1,-3.083,<rdkit.Chem.rdchem.Mol object at 0x15206cc98970>,11
Nc1cnn(-c2ccccc2)c(=O)c1Br,-3.127,<rdkit.Chem.rdchem.Mol object at 0x15206cc989e0>,15
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],-4.76,<rdkit.Chem.rdchem.Mol object at 0x15206cc98a50>,25
Cc1ccc2ccc(C)nc2c1,-1.94,<rdkit.Chem.rdchem.Mol object at 0x15206cc98ac0>,12
C#CCCCCCC,-3.66,<rdkit.Chem.rdchem.Mol object at 0x15206cc98b30>,8
CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,-2.17,<rdkit.Chem.rdchem.Mol object at 0x15206cc98ba0>,17
c1ccc2c(c1)ccc1c3ccccc3ccc21,-8.057,<rdkit.Chem.rdchem.Mol object at 0x15206cc98c10>,18
CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O,-2.523,<rdkit.Chem.rdchem.Mol object at 0x15206cc98c80>,14
Clc1cccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,-8.6,<rdkit.Chem.rdchem.Mol object at 0x15206cc98cf0>,18
Cc1ccccc1O,-0.62,<rdkit.Chem.rdchem.Mol object at 0x15206cc98d60>,8
CC(C)CCC(C)(C)C,-5.05,<rdkit.Chem.rdchem.Mol object at 0x15206cc98dd0>,9
Cc1ccc(C)c2ccccc12,-4.14,<rdkit.Chem.rdchem.Mol object at 0x15206cc98e40>,12
Cc1cc2c3ccccc3ccc2c2ccccc12,-6.57,<rdkit.Chem.rdchem.Mol object at 0x15206cc98eb0>,19
CCCC(C)=O,-0.19,<rdkit.Chem.rdchem.Mol object at 0x15206cc98f20>,6
Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,-9.15,<rdkit.Chem.rdchem.Mol object at 0x15206cc98f90>,20
CCCOC(=O)CC,-0.82,<rdkit.Chem.rdchem.Mol object at 0x15206cc99040>,8
CC12C=CC(=O)C=C1CCC1C3CC(O)C(O)(C(=O)CO)C3(C)CC(O)C12F,-3.68,<rdkit.Chem.rdchem.Mol object at 0x15206cc990b0>,28
Nc1ccc(O)cc1,-0.8,<rdkit.Chem.rdchem.Mol object at 0x15206cc99120>,8
O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,-2.81,<rdkit.Chem.rdchem.Mol object at 0x15206cc99190>,19
O=C1C(O)=C(C2CCC(c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21,-5.931,<rdkit.Chem.rdchem.Mol object at 0x15206cc99200>,26
CCNc1nc(Cl)nc(N(CC)CC)n1,-4.06,<rdkit.Chem.rdchem.Mol object at 0x15206cc99270>,15
NC(=O)c1cnccn1,-0.667,<rdkit.Chem.rdchem.Mol object at 0x15206cc992e0>,9
CCC(Br)(CC)C(=O)NC(N)=O,-2.68,<rdkit.Chem.rdchem.Mol object at 0x15206cc99350>,12
Clc1ccccc1-c1ccccc1Cl,-5.27,<rdkit.Chem.rdchem.Mol object at 0x15206cc993c0>,14
O=C1CN(N=Cc2ccc([N+](=O)[O-])o2)C(=O)N1,-3.38,<rdkit.Chem.rdchem.Mol object at 0x15206cc99430>,17
O=[N+]([O-])c1ccc(Oc2ccc(Cl)cc2Cl)cc1,-5.46,<rdkit.Chem.rdchem.Mol object at 0x15206cc994a0>,18
CC12CCC(CC1=O)C2(C)C,-1.96,<rdkit.Chem.rdchem.Mol object at 0x15206cc99510>,11
C=CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,-2.369,<rdkit.Chem.rdchem.Mol object at 0x15206cc99580>,18
CCCCC(=O)OCC,-2.25,<rdkit.Chem.rdchem.Mol object at 0x15206cc995f0>,9
CC(=O)OCCC(C)C,-1.92,<rdkit.Chem.rdchem.Mol object at 0x15206cc99660>,9
CCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-5.886,<rdkit.Chem.rdchem.Mol object at 0x15206cc996d0>,28
Clc1cccc(-c2cc(Cl)ccc2Cl)c1,-6.01,<rdkit.Chem.rdchem.Mol object at 0x15206cc99740>,15
CCCBr,-1.73,<rdkit.Chem.rdchem.Mol object at 0x15206cc997b0>,4
CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,-3.4930000000000003,<rdkit.Chem.rdchem.Mol object at 0x15206cc99820>,22
COP(=S)(OC)SCC(=O)N(C)C=O,-1.995,<rdkit.Chem.rdchem.Mol object at 0x15206cc99890>,14
Cc1ncnc2nccnc12,-0.466,<rdkit.Chem.rdchem.Mol object at 0x15206cc99900>,11
