LAMMPS (15 Sep 2022)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
# 2d WCA system, random initial configuration

#variable density equal 0.5
variable initial_temperature equal 3.0
variable final_temperature equal 0.1
variable dt equal 0.01
variable tau equal 100*${dt}
variable tau equal 100*0.01
variable thermo_time equal 50000*${dt}
variable thermo_time equal 50000*0.01
variable equil_steps equal 50000
variable run_steps equal 100000

units           lj
atom_style      atomic
dimension       2

lattice         sq ${density}
lattice         sq 1.0
Lattice spacing in x,y,z = 1 1 1
region          box block 0 20 0 20 -0.5 0.5
# number of atom types
create_box      1 box
Created orthogonal box = (0 0 -0.5) to (20 20 0.5)
  1 by 1 by 1 MPI processor grid
create_atoms    1 box
Created 400 atoms
  using lattice units in orthogonal box = (0 0 -0.5) to (20 20 0.5)
  create_atoms CPU = 0.000 seconds
mass 1 1.0

velocity all create ${initial_temperature} 12345
velocity all create 3 12345

pair_style      lj/cut 1.0
#type_1 type_2 epsilon sigma cutoff
pair_coeff      1 1 10.0 0.89089871814 1.0
pair_modify shift yes

timestep ${dt}
timestep 0.01
thermo ${thermo_time}
thermo 500

fix 1 all nvt temp ${initial_temperature} ${initial_temperature} ${tau}
fix 1 all nvt temp 3 ${initial_temperature} ${tau}
fix 1 all nvt temp 3 3 ${tau}
fix 1 all nvt temp 3 3 1
run ${equil_steps}
run 50000
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 1.3
  ghost atom cutoff = 1.3
  binsize = 0.65, bins = 31 31 2
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/2d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 3.055 | 3.055 | 3.055 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
         0   3              0              0              2.9925         2.9925       
       500   3.2273594      1.6203164      0              4.8396074      32.210094    
      1000   3.0917559      1.7585791      0              4.8426056      33.82522     
      1500   3.0860321      1.7315698      0              4.8098868      33.234382    
      2000   3.4547013      1.3258813      0              4.7719459      28.385855    
      2500   2.9983323      1.5650419      0              4.5558783      31.515517    
      3000   3.1071058      1.6412432      0              4.7405813      32.863774    
      3500   3.0331505      1.5581246      0              4.5836922      30.620377    
      4000   2.7465192      1.3973388      0              4.1369917      28.562758    
      4500   3.0347454      1.5579643      0              4.5851229      31.50843     
      5000   2.9798325      1.5886528      0              4.5610357      31.428801    
      5500   3.0348303      1.6034554      0              4.6306986      32.505407    
      6000   3.0775606      1.5720819      0              4.6419487      30.928113    
      6500   2.8238729      1.7022195      0              4.5190327      32.624683    
      7000   3.0846693      1.6918015      0              4.7687591      32.405586    
      7500   3.2567077      1.4405034      0              4.6890693      29.742187    
      8000   3.1830484      1.4754144      0              4.6505052      30.184708    
      8500   2.8846         1.4688344      0              4.3462229      29.685759    
      9000   2.9668998      1.4878986      0              4.4473812      30.587651    
      9500   3.1238999      1.3300935      0              4.4461837      28.4784      
     10000   3.0413873      1.6658466      0              4.6996304      32.17254     
     10500   3.2254203      1.6349362      0              4.852293       32.620259    
     11000   2.8879308      1.4543754      0              4.3350864      29.712939    
     11500   2.8728832      1.6343431      0              4.5000442      32.51509     
     12000   2.9200019      1.4982586      0              4.4109604      30.140829    
     12500   2.9165132      1.6727204      0              4.5819423      32.796932    
     13000   3.1972301      1.70627        0              4.895507       33.35546     
     13500   3.1478535      1.6575229      0              4.7975068      32.472289    
     14000   2.8535858      1.698011       0              4.5444628      32.758936    
     14500   3.2683798      1.5250003      0              4.7852092      30.520784    
     15000   2.7502294      1.6057933      0              4.3491472      31.648988    
     15500   3.1294907      1.4903598      0              4.6120267      30.529777    
     16000   3.1010849      1.8143456      0              4.9076778      33.817008    
     16500   3.0376647      1.4390166      0              4.4690872      29.670188    
     17000   2.9534002      1.5307845      0              4.4768011      30.548752    
     17500   3.024023       1.4671305      0              4.4835935      30.018409    
     18000   3.0273686      1.6517658      0              4.671566       32.430986    
     18500   2.8122039      1.5515316      0              4.356705       31.31069     
     19000   2.8475619      1.7767627      0              4.6172057      33.83663     
     19500   2.9162996      1.5672165      0              4.4762253      31.198357    
     20000   3.1605614      1.5014825      0              4.6541424      30.928501    
     20500   3.055594       1.611257       0              4.659212       31.957505    
     21000   3.5210623      1.400189       0              4.9124486      29.506617    
     21500   3.2411156      1.5931667      0              4.8261795      31.719441    
     22000   3.2566009      1.4342935      0              4.6827529      30.444664    
     22500   2.9888873      1.4710407      0              4.4524558      30.463593    
     23000   3.0813813      1.402876       0              4.4765539      29.429403    
     23500   3.0824096      1.4763956      0              4.5510992      30.510922    
     24000   2.9419121      1.5905969      0              4.5251542      31.18507     
     24500   2.8512695      1.643697       0              4.4878383      31.620434    
     25000   2.9008333      1.6062426      0              4.4998238      32.215604    
     25500   2.9608723      1.6173683      0              4.5708384      31.308322    
     26000   2.9787688      1.5502073      0              4.5215292      31.299592    
     26500   3.1657787      1.383399       0              4.5412633      28.648681    
     27000   3.0271896      1.7272685      0              4.7468902      33.205707    
     27500   3.1349388      1.8005025      0              4.9276039      34.134898    
     28000   3.020126       1.5391376      0              4.5517133      30.984773    
     28500   2.9812888      1.6370063      0              4.6108419      32.094367    
     29000   3.2320546      1.6833931      0              4.9073676      32.762907    
     29500   3.2097548      1.6875543      0              4.8892847      33.007392    
     30000   3.1683437      1.7015888      0              4.8620117      33.101508    
     30500   3.2183268      1.7293353      0              4.9396163      33.525965    
     31000   3.1375797      1.7864881      0              4.9162238      33.755686    
     31500   3.1216793      1.6944752      0              4.8083503      32.536606    
     32000   3.1042103      1.6223343      0              4.7187841      31.933361    
     32500   3.1126665      1.7562521      0              4.8611369      33.866361    
     33000   3.0475268      1.6777657      0              4.7176737      32.974619    
     33500   3.1954048      1.7171046      0              4.9045209      32.736744    
     34000   2.8454793      1.6545756      0              4.4929411      32.046304    
     34500   2.9292551      1.6602191      0              4.5821511      32.167696    
     35000   3.0608289      1.4947056      0              4.5478824      30.223988    
     35500   3.1539663      1.5503416      0              4.696423       31.601007    
     36000   3.2527628      1.6987426      0              4.9433735      32.967523    
     36500   2.9544066      1.6010786      0              4.5480991      31.795319    
     37000   2.7969828      1.7440196      0              4.5340099      33.361453    
     37500   2.9082472      1.5472942      0              4.4482708      30.91805     
     38000   3.0648845      1.5682779      0              4.6255001      31.453219    
     38500   3.2543531      1.8155079      0              5.0617251      34.105036    
     39000   3.0032084      1.8165722      0              4.8122726      34.457007    
     39500   2.7593482      1.7346357      0              4.4870855      33.45655     
     40000   2.9130229      1.8800911      0              4.7858314      35.804796    
     40500   2.8221321      1.6449341      0              4.4600108      31.844269    
     41000   3.143609       1.4186169      0              4.5543669      29.35831     
     41500   2.8908563      1.7421035      0              4.6257327      32.63039     
     42000   2.6599906      1.5535316      0              4.2068722      31.166911    
     42500   2.7786229      1.6310997      0              4.402776       31.559631    
     43000   2.9598066      1.4852559      0              4.4376629      29.577839    
     43500   2.9455666      1.6314222      0              4.5696249      30.864446    
     44000   3.2521225      1.5265419      0              4.7705341      30.909665    
     44500   3.1324051      1.7187057      0              4.8432798      33.528902    
     45000   2.7964047      1.6672716      0              4.4566853      31.874063    
     45500   3.0313961      1.6473694      0              4.671187       32.479542    
     46000   3.2312815      1.7797705      0              5.0029738      34.245759    
     46500   3.2572485      1.6093755      0              4.8584809      31.847267    
     47000   3.2738464      1.4965647      0              4.7622265      30.999656    
     47500   3.364308       1.7249911      0              5.0808883      33.670648    
     48000   3.0485704      1.6740545      0              4.7150035      31.69651     
     48500   3.2338927      1.3053661      0              4.5311741      27.909062    
     49000   3.1818405      1.4646848      0              4.6385706      29.84474     
     49500   3.2996444      1.4953957      0              4.7867911      30.937944    
     50000   3.1444896      1.7294347      0              4.8660631      33.464448    
Loop time of 2.03382 on 1 procs for 50000 steps with 400 atoms

Performance: 21240831.286 tau/day, 24584.295 timesteps/s, 9.834 Matom-step/s
98.9% CPU use with 1 MPI tasks x 1 OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 0.67918    | 0.67918    | 0.67918    |   0.0 | 33.39
Neigh   | 0.89823    | 0.89823    | 0.89823    |   0.0 | 44.16
Comm    | 0.094056   | 0.094056   | 0.094056   |   0.0 |  4.62
